CustomerID,NameStyle,Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,PasswordHash,PasswordSalt
1,0,Mr.,Orlando,N.,Gee,NULL,A Bike Store,adventure-workspamela0,orlando0@adventure-works.com,245-555-0173,L/Rlwxzp4w7RWmEgXX+/A7cXaePEPcp+KwQhl2fJL7w=,1KjXYs4=
2,0,Mr.,Keith,NULL,Harris,NULL,Progressive Sports,adventure-worksdavid8,keith0@adventure-works.com,170-555-0127,YPdtRdvqeAhj6wyxEsFdshBDNXxkCXn+CRgbvJItknw=,fs1ZGhY=
3,0,Ms.,Donna,F.,Carreras,NULL,Advanced Bike Components,adventure-worksjillian0,donna0@adventure-works.com,279-555-0130,LNoK27abGQo48gGue3EBV/UrlYSToV0/s87dCRV7uJk=,YTNH5Rw=
4,0,Ms.,Janet,M.,Gates,NULL,Modular Cycle Systems,adventure-worksjillian0,janet1@adventure-works.com,710-555-0173,ElzTpSNbUW1Ut+L5cWlfR7MF6nBZia8WpmGaQPjLOJA=,nm7D5e4=
5,0,Mr.,Lucy,NULL,Harrington,NULL,Metropolitan Sports Supply,adventure-worksshu0,lucy0@adventure-works.com,828-555-0186,KJqV15wsX3PG8TS5GSddp6LFFVdd3CoRftZM/tP0+R4=,cNFKU4w=
6,0,Ms.,Rosmarie,J.,Carroll,NULL,Aerobic Exercise Company,adventure-workslinda3,rosmarie0@adventure-works.com,244-555-0112,OKT0scizCdIzymHHOtyJKQiC/fCILSooSZ8dQ2Y34VM=,ihWf50M=
7,0,Mr.,Dominic,P.,Gash,NULL,Associated Bikes,adventure-worksshu0,dominic0@adventure-works.com,192-555-0173,ZccoP/jZGQm+Xpzc7RKwDhS11YFNybwcPVRYTSNcnSg=,sPoUBSQ=
10,0,Ms.,Kathleen,M.,Garza,NULL,Rural Cycle Emporium,adventure-worksjose1,kathleen0@adventure-works.com,150-555-0127,Qa3aMCxNbVLGrc0b99KsbQqiVgwYDfHcsK9GZSUxcTM=,Ls05W3g=
11,0,Ms.,Katherine,NULL,Harding,NULL,Sharp Bikes,adventure-worksjose1,katherine0@adventure-works.com,926-555-0159,uRlorVzDGNJIX9I+ehTlRK+liT4UKRgWhApJgUMC2d4=,jpHKbqE=
12,0,Mr.,Johnny,A.,Caprio,Jr.,Bikes and Motorbikes,adventure-worksgarrett1,johnny0@adventure-works.com,112-555-0191,jtF9jBoFYeJTaET7x+eJDkd7BzMz15Wo9odbGPBaIak=,wVLnvHo=
